genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
,Cidade Negra,A Estrada,3bS1srVDOOqGYCKcnzYwfs,55,0.264,0.7140000000000001,282160,0.861,6.09e-05,D,0.14800000000000002,-6.676,Major,0.0394,96.099,4/4,0.813
,Ed Motta,Baixo rio,6kgcHFvpz3hsN5lRdoq49R,24,0.381,0.778,199000,0.493,0.0304,E,0.117,-10.189,Major,0.0276,91.95,4/4,0.684
,"Nuno Ramos, Clima, Mariana Aydar",Caia na Risada,1gIIQh93O15iBkAjvephvd,14,0.525,0.68,222772,0.434,0.17,A,0.0967,-10.024,Minor,0.0448,91.965,4/4,0.165
,Céu,Varanda Suspensa,1GpCZ2VpFKuuVGIZq12dum,50,0.124,0.778,288200,0.7509999999999999,0.428,D#,0.0733,-6.812,Major,0.0434,139.97899999999998,4/4,0.964
,Belchior,Na hora do almoço,0J2VcHuiC8fcIG0nDajk0B,41,0.398,0.64,152960,0.7240000000000001,0.0,D,0.0854,-4.428,Major,0.0461,125.196,4/4,0.499
,Lenine,Simples Assim,0ir1wl9xSGBKCnIHrtdeMg,51,0.74,0.493,209613,0.193,0.00316,C,0.101,-15.177,Major,0.0436,134.009,4/4,0.305
,Os Azeitonas,Ray-Dee-Oh,3DdHBlg7W2AW5gxB4ypJSQ,28,0.0564,0.679,230475,0.487,0.00015800000000000002,B,0.368,-8.673,Major,0.0313,129.991,4/4,0.917
,Maglore,Às Vezes um Clichê,5enNdx4oAh9GK3sXWzpge4,38,0.0889,0.659,200445,0.816,1.05e-05,F#,0.193,-4.524,Major,0.0274,124.932,4/4,0.8740000000000001
,Marcelo Camelo,ô ô,1umCuLpv2oKLXiOkCcvjVw,31,0.628,0.625,169653,0.81,0.69,G,0.0776,-8.689,Major,0.0333,120.026,4/4,0.626
,"Kali Uchis, Daniel Caesar",Get You (feat. Kali Uchis),7zFXmv6vqI4qOt4yGf3jYZ,78,0.422,0.6579999999999999,278180,0.294,5.2e-05,E,0.0749,-8.533,Minor,0.0321,74.038,4/4,0.358
,Só Pra Contrariar,Domingo - Ao Vivo,0pnrx9K3Q9goF88oPFoykU,52,0.578,0.721,176640,0.897,1.18e-05,G,0.708,-7.401,Major,0.0468,99.979,4/4,0.5870000000000001
,Sam Cooke,A Change Is Gonna Come,0KOE1hat4SIer491XKk4Pa,68,0.723,0.212,191160,0.383,0.0,A#,0.299,-10.071,Major,0.0347,173.79,3/4,0.452
,Rhaissa Bittar,Velhas Sílabas,2Wjmk3mq22MT6opdg65CJz,25,0.8809999999999999,0.522,176102,0.163,8.69e-06,B,0.177,-13.878,Major,0.041,128.985,4/4,0.535
,Móveis Coloniais de Acaju,O Tempo,3Efo6Zoa9CesnKCNmuutVj,39,0.233,0.37,278453,0.86,0.000122,B,0.314,-3.463,Minor,0.033,80.648,4/4,0.7040000000000001
,Daparte,3 da Manhã,3NCpBBT9G5eIDQxTRMacBm,39,0.0715,0.57,182058,0.713,0.0,G,0.317,-6.415,Major,0.0281,101.54,5/4,0.626
,Dani Black,Areia,5DUziD9CW0Lo158aEfuc6Y,29,0.26,0.7509999999999999,335339,0.547,0.000174,F#,0.251,-6.478,Major,0.03,99.977,4/4,0.524
,"Stevie Wonder, Djavan",Samurai (feat. Stevie Wonder),3BQAK2pnTpfZvLg2MUUU5i,45,0.381,0.583,288427,0.682,1.3800000000000003e-05,E,0.329,-5.825,Major,0.0297,85.26299999999998,4/4,0.693
,"Pedro Viáfora, Pedro Altério, 5 a Seco",Passo a Passo,21VIeEVeZfG2Aoioub0uHB,24,0.209,0.792,134440,0.624,1.69e-06,A,0.22,-6.8889999999999985,Major,0.042,120.051,4/4,0.735
,Electric Light Orchestra,Mr. Blue Sky,2RlgNHKcydI9sayD2Df2xp,81,0.652,0.388,303373,0.338,3.72e-06,A#,0.248,-10.054,Major,0.0328,177.78400000000005,4/4,0.477
,Ana Frango Elétrico,Promessas e Previsões,0Nfh61vgZnpUeHDzeid0Gz,38,0.65,0.5579999999999999,222410,0.474,0.000134,C,0.171,-6.595,Major,0.0462,120.787,4/4,0.27
,Luiza Lian,Geladeira,3Hlh6tIHXS1H70YqoZ1Cka,28,0.499,0.625,204493,0.521,1.46e-05,F#,0.104,-8.437000000000001,Minor,0.0719,130.645,4/4,0.53
,"Bebel Gilberto, Cazuza",Preciso Dizer Que Te Amo,0zLs0xjw4MYcMiXHsOvSgk,50,0.986,0.601,281533,0.0481,6.8e-05,B,0.182,-22.113000000000003,Minor,0.0506,105.418,4/4,0.269
,Roberto Carlos,O Portão - Versão Remasterizada,3N9x3S79hAPn3RXEcJTuDj,43,0.643,0.376,331533,0.465,0.000239,F,0.132,-6.318,Major,0.0265,131.534,4/4,0.46
,Gilberto Gil,Drão - Ao Vivo,4r4CwWbZeiWLhk4eaHsG9K,30,0.343,0.443,301387,0.398,2.13e-05,C,0.154,-13.157,Major,0.104,151.994,3/4,0.435
Pop,"Kyle, Juan Caoile",Marikit,4nd9cEo5R4jGNcgPHDm7Ar,74,0.574,0.8059999999999999,263348,0.593,0.0,B,0.0981,-7.672000000000001,Major,0.0745,143.01,4/4,0.784
Pop,"Harm Franklin, Curtis Waters",Stunnin',2LUdpPCiiza6UQugipjMeS,77,0.32899999999999996,0.9059999999999999,144013,0.604,0.0,B,0.255,-8.332,Minor,0.0746,99.99600000000001,4/4,0.899
