popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
74,0.574,0.8059999999999999,263348,0.593,0.0,0.0981,-7.6720000000000015,0.0745,143.01,0.784
77,0.329,0.906,144013,0.604,0.0,0.255,-8.332,0.0746,99.996,0.899
72,0.00734,0.42,230613,0.447,0.0156,0.202,-7.555,0.0375,78.775,0.21600000000000005
68,0.219,0.5870000000000001,220573,0.662,0.0008349999999999999,0.123,-8.79,0.0262,111.972,0.784
75,0.813,0.505,177947,0.293,0.0,0.0983,-11.765999999999998,0.0345,81.93799999999997,0.16
66,0.142,0.652,159480,0.369,0.00322,0.128,-9.301,0.045,155.016,0.3720000000000001
81,0.617,0.6759999999999999,210000,0.525,0.0,0.35600000000000004,-5.88,0.028,112.011,0.421
72,0.6659999999999999,0.962,165231,0.787,5.7399999999999986e-05,0.17600000000000002,1.509,0.0554,130.003,0.968
78,0.24,0.649,227173,0.767,0.0,0.0929,-3.838,0.0455,149.918,0.608
70,0.0397,0.5479999999999999,196497,0.871,0.0,0.35700000000000004,-5.377000000000002,0.123,120.009,0.487
70,0.267,0.7909999999999999,194037,0.885,0.0,0.227,-2.43,0.0623,104.959,0.51
59,0.0932,0.725,176787,0.6679999999999999,2.33e-06,0.112,-7.286,0.055,82.96600000000002,0.5660000000000001
65,0.0169,0.7240000000000001,186013,0.604,3.5e-05,0.141,-7.896,0.235,140.056,0.515
8,0.627,0.452,205402,0.325,0.0,0.0645,-8.687000000000001,0.0337,97.987,0.33
94,0.7490000000000001,0.728,147800,0.431,0.0,0.0996,-9.966,0.0622,130.02200000000002,0.629
81,0.016,0.8240000000000001,210329,0.8540000000000001,4.95e-05,0.117,-5.312,0.177,95.114,0.8959999999999999
76,0.693,0.873,175753,0.505,0.0017,0.108,-8.554,0.0646,100.037,0.5820000000000001
81,0.643,0.599,230880,0.465,1.57e-06,0.149,-4.95,0.0314,113.82,0.0678
81,0.172,0.945,141893,0.6759999999999999,0.00036,0.322,-6.6,0.207,123.109,0.631
74,0.6509999999999999,0.908,132885,0.342,0.0,0.195,-7.651,0.196,99.959,0.505
82,0.0229,0.65,225668,0.8270000000000001,0.0,0.121,-4.0139999999999985,0.0599,144.995,0.223
81,0.119,0.5539999999999999,160120,0.8,0.0,0.629,-3.936,0.0395,115.056,0.463
72,0.493,0.747,164318,0.5539999999999999,0.000425,0.332,-6.154,0.289,96.988,0.585
69,0.575,0.493,256573,0.394,0.0,0.267,-6.997000000000001,0.0366,152.03,0.375
72,0.491,0.746,174720,0.757,0.00124,0.0863,-6.0779999999999985,0.054000000000000006,124.992,0.499
78,0.00231,0.67,261013,0.8740000000000001,1.7199999999999998e-05,0.3,-5.221,0.0305,130.041,0.789
72,0.675,0.659,300001,0.537,3.92e-05,0.3,-9.644,0.0343,127.962,0.398
75,0.816,0.856,252594,0.35200000000000004,0.0,0.0906,-6.9,0.0408,121.776,0.7509999999999999
70,0.423,0.86,240000,0.6679999999999999,1.85e-06,0.096,-8.512,0.221,128.096,0.237
46,0.564,0.6409999999999999,273233,0.5760000000000001,0.0,0.114,-6.772,0.139,77.005,0.622
73,0.336,0.8,212406,0.578,0.000311,0.184,-4.779,0.0831,99.989,0.234
76,0.263,0.718,177856,0.403,1.56e-06,0.228,-11.064,0.205,129.582,0.636
