popularity,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
79,0.16,0.428,202597,0.8059999999999999,0.0,0.6809999999999999,-6.317,0.207,176.21200000000002,0.637
79,0.445,0.5429999999999999,193670,0.7559999999999999,0.0,0.95,-3.755,0.235,153.996,0.5660000000000001
79,0.24,0.528,181930,0.87,0.0,0.33299999999999996,-3.123,0.0851,152.37,0.7140000000000001
89,0.0125,0.794,183290,0.7929999999999999,0.0,0.0952,-4.521,0.0842,123.941,0.677
69,0.159,0.605,201856,0.72,0.0,0.956,-3.616,0.0481,141.954,0.29600000000000004
70,0.10800000000000001,0.59,194580,0.846,0.0,0.93,-5.501,0.0616,167.99099999999999,0.565
64,0.479,0.8270000000000001,173892,0.6829999999999999,0.0,0.409,-5.113,0.0719,135.944,0.85
78,0.611,0.552,157186,0.7090000000000001,0.0,0.763,-5.435,0.129,117.58200000000001,0.528
77,0.515,0.605,190245,0.812,0.0,0.419,-4.699,0.0403,110.081,0.451
97,0.0167,0.77,176840,0.7240000000000001,0.0107,0.353,-5.484,0.0495,121.975,0.898
77,0.47100000000000003,0.61,180346,0.867,0.0,0.83,-3.94,0.17600000000000002,81.023,0.7170000000000001
72,0.331,0.691,172076,0.5579999999999999,0.0,0.0545,-6.64,0.0455,125.87,0.905
77,0.272,0.624,196406,0.47,0.0,0.147,-5.575,0.0483,76.805,0.513
70,0.445,0.39,181670,0.903,0.0,0.9109999999999999,-3.846,0.409,195.62,0.47
78,0.0604,0.665,147748,0.743,0.0,0.9590000000000001,-4.434,0.0567,131.57299999999998,0.6579999999999999
76,0.488,0.605,205786,0.723,0.0,0.33299999999999996,-6.312,0.0383,142.061,0.57
76,0.0486,0.741,180736,0.943,0.0,0.965,-1.401,0.0456,124.984,0.725
79,0.14400000000000002,0.457,249847,0.603,0.0,0.679,-7.729,0.0278,77.048,0.17600000000000002
62,0.5710000000000001,0.643,162208,0.8270000000000001,0.0,0.17600000000000002,-7.83,0.0986,146.048,0.769
73,0.556,0.8029999999999999,162750,0.841,1.47e-06,0.0975,-4.117,0.0344,120.134,0.8320000000000001
78,0.17800000000000002,0.68,143448,0.8690000000000001,0.0,0.223,-1.94,0.0589,173.997,0.924
100,0.00146,0.514,200040,0.73,9.54e-05,0.0897,-5.934,0.0598,171.005,0.33399999999999996
76,0.0518,0.741,164407,0.848,0.0,0.491,-3.64,0.0282,128.036,0.885
72,0.688,0.825,209755,0.593,0.000161,0.17,-6.401,0.0988,98.07799999999999,0.54
97,0.731,0.726,173333,0.431,0.0,0.696,-8.765,0.135,144.026,0.348
68,0.0391,0.33899999999999997,231285,0.584,0.0,0.0809,-7.422999999999999,0.0339,133.096,0.324
78,0.331,0.632,150026,0.5589999999999999,0.0,0.16,-6.74,0.0794,91.81,0.674
78,0.0601,0.695,126379,0.7170000000000001,0.00013000000000000002,0.242,-4.854,0.096,145.984,0.47100000000000003
81,0.098,0.8809999999999999,181306,0.6609999999999999,0.0187,0.10099999999999999,-7.681,0.0343,124.023,0.965
77,0.596,0.862,188388,0.561,0.0,0.10800000000000001,-5.702999999999999,0.335,99.86399999999999,0.541
88,0.021,0.672,182200,0.855,0.0,0.32299999999999995,-3.764,0.0397,123.056,0.6459999999999999
0,0.00337,0.8240000000000001,281273,0.555,6.42e-06,0.217,-5.817,0.05,120.00200000000001,0.0611
76,0.469,0.637,175219,0.877,0.0,0.34299999999999997,-3.68,0.198,118.889,0.691
87,0.289,0.83,247059,0.49,3.04e-06,0.113,-8.82,0.209,81.604,0.845
