const,acousticness,danceability,instrumentalness,liveness,loudness,speechiness,tempo,valence,duration_ms,y_hat,y
1,0.016,0.8220000000000001,0.0,0.127,-4.772,0.28,84.459,0.636,242001,44.975553975386696,92
1,0.295,0.8029999999999999,0.000134,0.0574,-3.28,0.298,101.085,0.574,200960,43.64009637715831,92
1,0.12300000000000001,0.784,0.0,0.0887,-8.756,0.0364,127.087,0.23600000000000002,159382,48.84071154073564,83
1,0.256,0.787,3.57e-06,0.0904,-4.577,0.158,110.962,0.7859999999999999,237893,41.190242877606636,93
1,0.3,0.815,4.83e-06,0.091,-4.65,0.207,176.007,0.7859999999999999,345241,40.83574408942005,88
1,0.00285,0.667,8.1e-05,0.0736,-5.371,0.0346,100.021,0.7170000000000001,237520,43.441977080619296,91
1,0.125,0.805,4.96e-06,0.14800000000000002,-3.117,0.105,172.09400000000005,0.767,184255,43.252324776145485,78
1,0.192,0.695,0.00244,0.0863,-3.497,0.0395,120.042,0.5529999999999999,215280,44.87126557721229,93
1,0.021,0.86,6.54e-05,0.344,-5.16,0.0695,97.014,0.45299999999999996,172127,47.61690134640375,92
1,0.46399999999999997,0.691,3.29e-06,0.203,-4.727,0.111,174.021,0.855,246000,35.62627716998628,89
1,0.017,0.9229999999999999,0.0,0.272,-6.671,0.245,145.062,0.826,139741,41.67283954081762,92
1,0.0847,0.841,0.0,0.149,-3.37,0.0484,130.049,0.43,243837,49.685082340167135,92
1,0.192,0.7759999999999999,1.49e-06,0.115,-6.266,0.467,94.634,0.485,129371,41.93682062775167,90
1,0.604,0.45899999999999996,0.0,0.0885,-4.8580000000000005,0.0573,111.881,0.183,215107,41.05383717106204,84
1,0.0103,0.607,0.0,0.107,-4.074,0.379,96.17200000000001,0.685,295177,40.40690287485192,92
1,0.612,0.68,0.0,0.22399999999999998,-5.077,0.0475,123.97,0.446,179867,39.84223965010584,91
1,0.344,0.58,0.0,0.0755,-6.882999999999999,0.0357,147.988,0.507,199549,40.37694342692121,79
1,0.0319,0.7440000000000001,0.00011,0.11,-8.946,0.294,180.00599999999997,0.493,202667,42.95719931363909,85
1,0.007759999999999999,0.63,0.0,0.0541,-7.087999999999999,0.0457,93.995,0.452,172762,45.50948494076799,91
1,0.0237,0.6759999999999999,7.000000000000003e-06,0.102,-3.675,0.0483,99.04799999999999,0.569,207133,45.78214859296792,88
1,0.00775,0.638,0.0,0.126,-4.056,0.0407,129.856,0.434,162399,46.54954359217561,89
1,0.8370000000000001,0.764,0.0,0.0822,-7.209,0.0546,91.01899999999999,0.575,189486,37.587692495243715,91
1,0.0522,0.621,0.0,0.46,-5.6160000000000005,0.14800000000000002,116.735,0.457,163636,41.15507303199745,92
1,0.0546,0.598,5.83e-06,0.21,-8.764,0.0317,76.469,0.0605,175721,48.04565511499012,91
1,0.0392,0.759,0.0,0.0828,-6.0489999999999995,0.028999999999999998,116.96700000000001,0.7490000000000001,190800,43.654864586262335,83
1,0.067,0.795,0.0,0.15,-6.903,0.48700000000000004,142.053,0.537,237918,42.1680286494175,79
1,0.147,0.6809999999999999,0.0402,0.0735,-8.507,0.0256,107.016,0.339,154000,45.72084334564734,39
1,0.264,0.7140000000000001,6.09e-05,0.14800000000000002,-6.676,0.0394,96.099,0.813,282160,39.22963989766477,55
1,0.381,0.778,0.0304,0.117,-10.189,0.0276,91.95,0.684,199000,39.37357856040008,24
1,0.525,0.68,0.17,0.0967,-10.024,0.0448,91.965,0.165,222772,43.33588354236731,14
1,0.124,0.778,0.428,0.0733,-6.812,0.0434,139.97899999999998,0.964,288200,39.13459020916772,50
1,0.398,0.64,0.0,0.0854,-4.428,0.0461,125.196,0.499,152960,41.91463326742904,41
1,0.74,0.493,0.00316,0.101,-15.177,0.0436,134.009,0.305,209613,33.690559549800625,51
1,0.0564,0.679,0.00015800000000000002,0.368,-8.673,0.0313,129.991,0.917,230475,36.230236413688694,28
1,0.0889,0.659,1.05e-05,0.193,-4.524,0.0274,124.932,0.8740000000000001,200445,39.49751418337472,38
