const,acousticness,danceability,energy,instrumentalness,liveness,y_hat,y
1,0.986,0.601,0.0481,6.8e-05,0.182,29.581349469426826,50
1,0.643,0.376,0.465,0.000239,0.132,33.034966388199635,43
1,0.343,0.443,0.398,2.13e-05,0.154,37.796288840946275,30
1,0.574,0.8059999999999999,0.593,0.0,0.0981,37.773777290086514,74
1,0.32899999999999996,0.9059999999999999,0.604,0.0,0.255,40.36433841142649,77
1,0.00734,0.42,0.447,0.0156,0.20199999999999999,41.9170681389901,72
1,0.21899999999999997,0.5870000000000001,0.662,0.0008349999999999999,0.12300000000000001,40.89645798419904,68
1,0.813,0.505,0.293,0.0,0.0983,32.10715354773976,75
1,0.142,0.652,0.369,0.00322,0.128,42.747921003217094,66
1,0.617,0.6759999999999999,0.525,0.0,0.35600000000000004,33.186240474078545,81
1,0.6659999999999999,0.9620000000000001,0.787,5.7399999999999986e-05,0.17600000000000002,36.59794642421213,72
1,0.24,0.649,0.767,0.0,0.0929,41.3397344597211,78
1,0.0397,0.5479999999999999,0.871,0.0,0.35700000000000004,40.3430140535208,70
1,0.267,0.7909999999999999,0.885,0.0,0.22699999999999998,40.42882085604363,70
1,0.0932,0.725,0.6679999999999999,2.33e-06,0.11199999999999999,43.97837432854661,59
1,0.0169,0.7240000000000001,0.604,3.5e-05,0.141,44.81652277103226,65
1,0.627,0.452,0.325,0.0,0.0645,34.78286824092561,8
1,0.7490000000000001,0.728,0.431,0.0,0.0996,34.698536894920885,94
1,0.016,0.8240000000000001,0.8540000000000001,4.95e-05,0.11699999999999999,45.68519070902176,81
1,0.693,0.873,0.505,0.0017,0.10800000000000001,36.517783400417095,76
1,0.643,0.599,0.465,1.57e-06,0.149,34.6262521360584,81
1,0.172,0.945,0.6759999999999999,0.00036,0.322,42.15144461651495,81
1,0.6509999999999999,0.9079999999999999,0.342,0.0,0.195,36.56322407970975,74
1,0.0229,0.65,0.8270000000000001,0.0,0.121,44.16754937032714,82
1,0.11900000000000001,0.5539999999999999,0.8,0.0,0.629,36.150631226569416,81
1,0.493,0.747,0.5539999999999999,0.000425,0.332,35.830945694407845,72
1,0.575,0.493,0.39399999999999996,0.0,0.267,33.481188098980724,69
1,0.491,0.746,0.757,0.00124,0.0863,38.502228785182936,72
1,0.00231,0.67,0.8740000000000001,1.7199999999999998e-05,0.3,42.52551016764691,78
1,0.675,0.659,0.537,3.9200000000000004e-05,0.3,32.830723966741026,72
1,0.816,0.856,0.35200000000000004,0.0,0.0906,34.91141936904421,75
1,0.423,0.86,0.6679999999999999,1.85e-06,0.096,40.38761050809922,70
1,0.564,0.6409999999999999,0.5760000000000001,0.0,0.114,36.43090305088431,46
1,0.336,0.8,0.578,0.00031099999999999997,0.184,40.2528427788794,73
1,0.263,0.718,0.40299999999999997,1.56e-06,0.228,40.32016015099094,76
